"","name","quality","difficulty","noRate","wouldtakeagain","course","campus","namelink"
"1","Jau Rao","2.4","3.4","10 ratings","N/A","Business","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=133619"
"2","Marty Anderson","4.5","3","3 ratings","100%","Management","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=133642"
"3","Dick Bliss","4.3","3.8","9 ratings","100%","Finance","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=133647"
"4","Stephen Collins","3.5","3.7","22 ratings","34%","History","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=136735"
"5","Elizabeth Riley","4.8","3.6","5 ratings","N/A","Business","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=181675"
"6","Stephen Shapiro","3.5","3.6","9 ratings","100%","Marketing","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=196871"
"7","Eli Bortman","4.2","1.7","18 ratings","N/A","Law","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=208923"
"8","Ruth Gilleran","4.1","2.1","28 ratings","89%","Computer Science","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=210599"
"9","Mary O'Donoghue","4.4","3.1","23 ratings","100%","English","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=210602"
"10","Diana Harrington","3.4","3.4","8 ratings","100%","Finance","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=258224"
"11","Neil Harris","4.3","2.9","15 ratings","100%","Economics","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=417406"
"12","Shrini Rangan","3.4","2.8","5 ratings","N/A","Management","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=442561"
"13","David Kopsco","3.1","2.8","10 ratings","50%","Information Science","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=442563"
"14","Dhruv Grewal","3.5","2.8","15 ratings","75%","Marketing","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=442564"
"15","Ross Petty","4.3","3.7","6 ratings","50%","Law","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=442566"
"16","Tony Wain","3.5","3.2","25 ratings","75%","Accounting","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=442568"
"17","Brian Seitz","4.5","3","20 ratings","N/A","Philosophy","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=473930"
"18","Ismael Dambolena","3.5","2.9","9 ratings","N/A","Mathematics","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=502488"
"19","Lawrence Smith","2.4","4.2","23 ratings","N/A","Business","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=522117"
"20","Lisa Colletta","4.9","3","7 ratings","N/A","English","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=524253"
"21","Dawna Dewire","2.7","3.3","22 ratings","25%","Information Science","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=524257"
"22","Henry Deneault","4.8","2.5","10 ratings","N/A","Business","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=524262"
"23","John McKenzie","1.7","3.7","20 ratings","N/A","Mathematics","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=528421"
"24","Craig Stephenson","4.7","2.6","14 ratings","N/A","Finance","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=533478"
"25","Lisa Dicarlo","2.6","3.3","6 ratings","N/A","Literature","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=538268"
"26","Lydia Moland","3.6","3.6","9 ratings","N/A","English","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=586896"
"27","Heidi Neck","4.1","2.8","8 ratings","N/A","Business","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=631590"
"28","Robert Kopp","3.3","2.2","15 ratings","N/A","Business","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=669995"
"29","Gordon Prichett","4.2","3","17 ratings","N/A","Mathematics","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=739537"
"30","Alfred Nanni","2.5","3","4 ratings","N/A","Accounting","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=741542"
"31","Richard Mandel","4.4","3.8","25 ratings","100%","Law","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=748520"
"32","William Casey","3.4","2.8","12 ratings","N/A","Economics","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=750002"
"33","John Saber","3.1","2.7","7 ratings","N/A","Mathematics","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=752209"
"34","Colin Cass","3.6","2.7","9 ratings","N/A","English","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=752217"
"35","Michael Martin","3.9","2.4","24 ratings","75%","Literature","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=799677"
"36","Norman Govoni","3.3","4.1","21 ratings","N/A","Marketing","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=803312"
"37","Blake Pattridge","4.0","3","16 ratings","100%","Humanities","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=852052"
"38","James Hoopes","3.3","3.4","5 ratings","100%","History","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=869141"
"39","S Deets","4.0","3.7","13 ratings","N/A","History","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=869193"
"40","Ronald Waite","4.1","3.2","22 ratings","50%","Philosophy","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=869194"
"41","Kathleen Kelly","3.0","2.9","11 ratings","N/A","English","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=904076"
"42","Steven Eriksen","3.9","2.4","10 ratings","N/A","Mathematics","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=906889"
"43","Craig Ehrlich","4.3","2.8","26 ratings","100%","Law","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=907882"
"44","M Beveridge","2.2","3.3","3 ratings","N/A","English","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=909846"
"45","Arthur Bayer","2.7","2.6","8 ratings","N/A","Economics","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=928457"
"46","Ellen Argyros","4.1","2.7","39 ratings","54%","English","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=943444"
"47","Joanne Williams","3.0","3.7","6 ratings","N/A","Accounting","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=966996"
"48","Jennifer Bethel","3.2","3.3","15 ratings","67%","Finance","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1000162"
"49","Jon Fisher","4.2","2.9","10 ratings","N/A","Not Specified","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1011197"
"50","Michael Cummings","2.7","2.8","6 ratings","50%","Business","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1041052"
"51","Carolyn Hotchkiss","4.8","2.6","7 ratings","N/A","Law","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1044509"
"52","Bill Huss","2.9","3.6","26 ratings","55%","Mathematics","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1054110"
"53","Anne Roggeveen","4.0","3","2 ratings","100%","Marketing","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1054476"
"54","Dwight Gertz","4.0","2.9","15 ratings","100%","Business","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1072035"
"55",". Ristuccia","3.3","3.3","3 ratings","N/A","Not Specified","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1072037"
"56","Robert James","3.8","3.6","5 ratings","N/A","Finance","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1072042"
"57","Ivor Morgan","1.8","4","5 ratings","N/A","Management","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1076689"
"58","Michael Mozill","4.8","2.4","5 ratings","N/A","Marketing","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1118376"
"59","Ryan Davies","2.5","3.9","7 ratings","N/A","Finance","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1135005"
"60","Arhan Ertan","2.8","2.7","3 ratings","N/A","Economics","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1138996"
"61","Morris Collins","4.4","3","5 ratings","N/A","English","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1181744"
"62","Ken Der","3.8","2.5","8 ratings","N/A","Accounting","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1184324"
"63","Lindsay Coleman","2.9","3.2","6 ratings","N/A","English","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1190777"
"64","Richard Bowman","3.0","2.7","3 ratings","N/A","Accounting","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1190954"
"65","Nestor Azcona","2.0","4.1","31 ratings","10%","Economics","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1191752"
"66","Kimiko Ise Abramoff","3.9","2.6","5 ratings","N/A","Languages","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1192744"
"67","Andre Puca","0.0","0","0 ratings","N/A","Film","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1201270"
"68","Ankush Chopra","3.6","4.4","10 ratings","N/A","Management","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1222906"
"69","Farhoud Kafi","1.8","3.5","4 ratings","0%","Economics","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1223382"
"70","Jeffrey Ellis","1.0","5","1 ratings","N/A","Management","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1223392"
"71","Kara Miller","2.7","2.5","13 ratings","N/A","English","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1228585"
"72","James Philips","2.6","2","6 ratings","N/A","Science","Babson College","https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1256708"
